Дата;Время суток;Температура;Осадки;Ветер;Давление, мм рт.ст
Среда31 мая;Ночь;;;;
Среда31 мая;День;16..18°;Облачно с прояснениями. Небольшой дождь, местами умеренный; C-З 6-11 м/c;746
Четверг1 июня;Ночь;5..7°;Переменная облачность. Преимущественно без осадков; Ю-З 6-11 м/c;747
Четверг1 июня;День;21..23°;Переменная облачность. Преимущественно без осадков; Ю-З 6-11 м/c;746
Пятница2 июня;Ночь;8..10°;Облачно с прояснениями. Преимущественно без осадков; C-З 6-11 м/c, местами порывы до 15 м/c;745
Пятница2 июня;День;17..19°;Облачно с прояснениями. Местами небольшой дождь; C-З 6-11 м/c, местами порывы до 15 м/c;744
Суббота3 июня;Ночь;4..9°;Облачно. Дождь; C 5-10 м/c;743
Суббота3 июня;День;12..17°;Облачно. Дождь; C 5-10 м/c;745
Воскресенье4 июня;Ночь;4..9°;Облачно с прояснениями. Местами небольшой кратковременный дождь; C-З 5-10 м/c;749
Воскресенье4 июня;День;13..18°;Облачно с прояснениями. Местами небольшой кратковременный дождь; C-З 5-10 м/c;751
Понедельник5 июня;Ночь;6..11°;Облачно. Без осадков; слабый;752
Понедельник5 июня;День;15..20°;Облачно. Небольшой дождь; слабый;750
Вторник6 июня;Ночь;7..12°;Облачно, небольшой дождь; Ю-З, 2 м/с;748
Вторник6 июня;День;14..19°;Облачно, небольшой дождь; З, 3 м/с;748
